date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),reward,activeAddresses,medianTxValue(USD)
2015/6/8,1241.532677,6,451600,1,126,0,,
2015/6/9,1393.573349,7,451600,1,323,0,,
2015/6/10,66849.68264,16,451600,1,45551,0,,
2015/6/11,158.0281563,5,451600,1,50162,0,,
2015/6/12,12052.33987,7,451600,1,41981,0,,
2015/6/13,1576.939923,3,451600,1,1636,0,,
2015/6/14,1342.966633,7,451600,1,1349,0,,
2015/6/15,19675.82342,14,451600,1,262077,0,,
2015/6/16,25482.86,24,451600,1,204282,0,,
2015/6/17,10826.4666,23,451600,1,7822,0,,
2015/6/18,3150.083848,17,451600,1,33804,0,,
2015/6/19,7145.253565,19,451600,1,10983,0,,
2015/6/20,2060,5,451600,1,2424,0,,
2015/6/21,170.566489,3,451600,1,371,0,,
2015/6/22,123.1650886,1,451600,1,404,0,,
2015/6/23,44.06,10,451600,1,19973,0,,
2015/6/24,501252.1323,27,451600,1,633456,0,,
2015/6/25,61155,27,451600,1,63845,0,,
2015/6/26,4462.467478,22,451600,1,3129,0,,
2015/6/27,52.60057692,7,451600,1,668536,0,,
2015/6/28,351.0403396,4,451600,1,409,0,,
2015/6/29,410.3826103,7,451600,1,3121,0,,
2015/6/30,1827.399961,12,451600,1,472575,0,,
2015/7/1,41483.20851,19,451600,1,110325,0,,
2015/7/2,5150.630421,13,451600,1,1436,0,,
2015/7/3,5009.815752,2,451600,1,14061,0,,
2015/7/4,74.87668128,15,451600,1,100,0,,
2015/7/5,7239.976247,14,451600,1,8107,0,,
2015/7/6,2456.581757,10,451600,1,652389,0,,
2015/7/7,12750.00294,7,451600,1,34946,0,,
2015/7/8,7677.470957,13,451600,1,1633,0,,
2015/7/9,5807.52,12,451600,1,516,0,,
2015/7/10,21.26404214,13,451600,1,1065,0,,
2015/7/11,2093.75933,9,451600,1,1622,0,,
2015/7/12,505,2,451600,1,3187,0,,
2015/7/13,4548.088021,12,451600,1,242557,0,,
2015/7/14,64228.31217,30,451600,1,31442,0,,
2015/7/15,1624.500383,5,451600,1,1132,0,,
2015/7/16,89819.38245,25,451600,1,33532,0,,
2015/7/17,61993.90094,32,451600,1,665897,0,,
2015/7/18,5008.033898,11,451600,1,50532,0,,
2015/7/19,2200,2,451600,1,2709,0,,
2015/7/20,178.7536874,7,451600,1,659,0,,
2015/7/21,6689.305111,6,451600,1,5796,0,,
2015/7/22,582.7130853,11,451600,1,507,0,,
2015/7/23,14842.5,10,451600,1,4234,0,,
2015/7/24,38882.24681,29,451600,1,32140,0,,
2015/7/25,296.5926073,9,451600,1,521,0,,
2015/7/26,296.7835018,9,451600,1,25,0,,
2015/7/27,12660.75021,27,451600,1,2251,0,,
2015/7/28,3342.074058,14,451600,1,50303,0,,
2015/7/29,402092.5168,9,451600,1,404935,0,,
2015/7/30,624.49,3,451600,1,28285,0,,
2015/7/31,8212.13,2,451600,1,110,0,,
2015/8/1,220.2,3,451600,1,1766,0,,
2015/8/2,4341.748821,7,451600,1,4443,0,,
2015/8/3,1467.406518,12,451600,1,258279,0,,
2015/8/4,3695,2,451600,1,4182,0,,
2015/8/5,12331.84595,18,451600,1,11013,0,,
2015/8/6,18246.51699,23,451600,1,15979,0,,
2015/8/7,280003.0509,19,451600,1,189055,0,,
2015/8/8,129.5799953,7,451600,1,2229,0,,
2015/8/9,73300.24349,24,451600,1,657,0,,
2015/8/10,82941.84153,19,451600,1,152265,0,,
2015/8/11,16846.6258,21,451600,1,526,0,,
2015/8/12,6963.13703,25,451600,1,1602,0,,
2015/8/13,83.92,3,451600,1,1521,0,,
2015/8/14,4926.848023,14,451600,1,2346,0,,
2015/8/15,745.661963,18,451600,1,4232,0,,
2015/8/16,383.435651,18,451600,1,1644,0,,
2015/8/17,43131.99243,15,451600,1,20942,0,,
2015/8/18,36109.82722,38,451600,1,65246,0,,
2015/8/19,242771.8522,77,451600,1,157207,0,,
2015/8/20,4916.431763,13,451600,1,2841,0,,
2015/8/21,4900.500119,7,451600,1,5957,0,,
2015/8/22,100.6600861,5,451600,1,1296,0,,
2015/8/23,34.4532417,5,451600,1,2275,0,,
2015/8/24,1584.195604,6,451600,1,73637,0,,
2015/8/25,417127.86,30,451600,1,433444,0,,
2015/8/26,129150.5362,7,451600,1,1643,0,,
2015/8/27,1639.148861,5,451600,1,2446,0,,
2015/8/28,6739.107631,14,451600,1,6213,0,,
2015/8/29,2193.738403,11,451600,1,1207,0,,
2015/8/30,470.3678304,40,451600,1,3319,0,,
2015/8/31,9924.714681,47,451600,1,7022,0,,
2015/9/1,4283.100292,16,451600,1,6136,0,,
2015/9/2,518.4110877,22,451600,1,1710,0,,
2015/9/3,696.374092,26,451600,1,890,0,,
2015/9/4,170.4224964,17,451600,1,672,0,,
2015/9/5,14015.12055,51,451600,1,13467,0,,
2015/9/6,23227.94516,35,451600,1,17951,0,,
2015/9/7,19324.15243,29,451600,1,22316,0,,
2015/9/8,3063.073467,24,451600,1,2963,0,,
2015/9/9,100827.5379,632,451600,1,106307,0,,
2015/9/10,10001.02113,209,451600,1,9265,0,,
2015/9/11,53204.04593,18,451600,1,29213,0,,
2015/9/12,6718,9,451600,1,4331,0,,
2015/9/13,118.8643733,6,451600,1,696,0,,
2015/9/14,16374.14681,63,451600,1,228,0,,
2015/9/15,71785.54698,32,451600,1,71982,0,,
2015/9/16,130657.478,27,451600,1,52821,0,,
2015/9/17,77955.41063,29,451600,1,28268,0,,
2015/9/18,23159.62181,19,451600,1,15624,0,,
2015/9/19,1052.104491,7,451600,1,821,0,,
2015/9/20,39,2,451600,1,112,0,,
2015/9/21,10061.97555,13,451600,1,9470,0,,
2015/9/22,21791.63458,39,451600,1,19998,0,,
2015/9/23,1011.811815,33,451600,1,5751,0,,
2015/9/24,102264.1233,19,451600,1,103489,0,,
2015/9/25,216.4042847,31,451600,1,608,0,,
2015/9/26,3758.855746,7,451600,1,528,0,,
2015/9/27,0.05626672,4,451600,1,1998,0,,
2015/9/28,406418.81,18,451600,1,394927,0,,
2015/9/29,413900.4813,36,451600,1,419071,0,,
2015/9/30,143549.778,21,451600,1,142982,0,,
2015/10/1,179093.847,10,451600,1,178994,0,,
2015/10/2,13070.76148,12,451600,1,14619,0,,
2015/10/3,369769.3145,18,451600,1,368077,0,,
2015/10/4,70572.6357,10,451600,1,3459,0,,
2015/10/5,19430.57844,18,451600,1,17654,0,,
2015/10/6,52627.25678,36,451600,1,55914,0,,
2015/10/7,9019.851828,31,451600,1,8055,0,,
2015/10/8,2744.746482,43,451600,1,5197,0,,
2015/10/9,57565.82766,18,451600,1,1830,0,,
2015/10/10,128339.37,10,451600,1,117,0,,
2015/10/11,23476.93344,7,451600,1,47946,0,,
2015/10/12,57078.5846,77,451600,1,25978,0,,
2015/10/13,137401.9716,45,451600,1,122426,0,,
2015/10/14,10672.82408,20,451600,1,10378,0,,
2015/10/15,105036.3313,86,451600,1,98815,0,,
2015/10/16,49129.23571,46,451600,1,37796,0,,
2015/10/17,4255.827796,25,451600,1,3697,0,,
2015/10/18,4454.459232,31,451600,1,3108,0,,
2015/10/19,3949.4,8,451600,1,6589,0,,
2015/10/20,40811.17825,37,451600,1,30335,0,,
2015/10/21,22586.99746,24,451600,1,42472,0,,
2015/10/22,136362.2675,41,451600,1,76061,0,,
2015/10/23,181614.0835,44,451600,1,115132,0,,
2015/10/24,106246.7321,44,451600,1,73679,0,,
2015/10/25,162936.6914,51,451600,1,191596,0,,
2015/10/26,38583.88396,37,451600,1,40692,0,,
2015/10/27,57661.63074,75,451600,1,51400,0,,
2015/10/28,67468.0068,68,451600,1,64488,0,,
2015/10/29,223216.3435,67,451600,1,227491,0,,
2015/10/30,230282.4113,86,451600,1,26909,0,,
2015/10/31,35748.82022,76,451600,1,26367,0,,
2015/11/1,7350.793416,47,451600,1,4506,0,,
2015/11/2,291428.7191,131,451600,1,15845,0,,
2015/11/3,47861.78898,177,451600,1,90103,0,,
2015/11/4,158757.6607,193,451600,1,181021,0,,
2015/11/5,236831.9278,153,451600,1,226537,0,,
2015/11/6,363002.0887,139,451600,1,372540,0,,
2015/11/7,665849.3742,98,451600,1,999501,0,,
2015/11/8,12467.16707,49,451600,1,143097,0,,
2015/11/9,40012.39089,81,451600,1,18568,0,,
2015/11/10,567875.4743,28,451600,1,14722,0,,
2015/11/11,1752963.118,37,451600,1,34324,0,,
2015/11/12,38528.21658,44,451600,1,34994,0,,
2015/11/13,65183.84712,51,451600,1,49617,0,,
2015/11/14,30865.51786,29,451600,1,28995,0,,
2015/11/15,7264.642568,20,451600,1,33393,0,,
2015/11/16,9159.695388,9,451600,1,10553,0,,
2015/11/17,18573.77208,10,451600,1,25693,0,,
2015/11/18,2088.068566,22,451600,1,6058,0,,
2015/11/19,15836.01918,40,451600,1,18891,0,,
2015/11/20,19628.35224,38,451600,1,10003,0,,
2015/11/21,3899.69592,15,451600,1,6456,0,,
2015/11/22,2802.774859,21,451600,1,5443,0,,
2015/11/23,29363.58199,11,451600,1,25499,0,,
2015/11/24,6900.897529,13,451600,1,11121,0,,
2015/11/25,1493.13,15,451600,1,6875,0,,
2015/11/26,11735.58132,54,451600,1,20800,0,,
2015/11/27,12620.58257,40,451600,1,8253,0,,
2015/11/28,16187.69603,18,451600,1,22508,0,,
2015/11/29,105847.12,7,451600,1,134696,0,,
2015/11/30,413740.7539,33,451600,1,659724,0,,
2015/12/1,572995.9242,33,951599.6612,1,129772,500000,,
2015/12/2,250237.9727,34,951594.2904,0.999994,195747,0,,
2015/12/3,267947.7,26,951600,1,141337,0,,
2015/12/4,6171.631077,15,951600,1,7738,0,,
2015/12/5,4554.803144,11,951600,1,21568,0,,
2015/12/6,217621.4454,71,951600,1,220143,0,,
2015/12/7,4296.990525,45,951600,1,11224,0,,
2015/12/8,640807.3128,53,951752,1,9504,0,,
2015/12/9,1024343.03,105,951676,1,17421,0,,
2015/12/10,21350.503,41,951600,1,23195,0,,
2015/12/11,146317.7851,40,951600,1,102209,0,,
2015/12/12,23657.56254,80,951600,1,39261,0,,
2015/12/13,13154.38685,58,951600,1,13796,0,,
2015/12/14,4475.173653,68,951600,1,8173,0,,
2015/12/15,1110783.779,78,951600,1,22210,0,,
2015/12/16,212630.8454,82,951600,1,143155,0,,
2015/12/17,1512069.199,32,951600,1,2226,0,,
2015/12/18,1382267.783,71,951600,1,6493,0,,
2015/12/19,14582.6601,62,951600,1,23202,0,,
2015/12/20,3814.776537,26,951600,1,16100,0,,
2015/12/21,8974.341404,29,951600.4177,1,18913,0,,
2015/12/22,1533946.371,35,951470.9508,0.999864,10915,0,,
