date,value
2017-07-18,54.4800123440206
2017-07-19,59.1334020779069
2017-07-20,54.13632627777224
2017-07-21,62.795523535520665
2017-07-22,63.495275020211814
2017-07-23,75.77678108057917
2017-07-24,74.47719177015132
2017-07-25,77.05586788703596
2017-07-26,64.32117874424908
2017-07-27,62.87895458713745
2017-07-28,61.43673043002581
2017-07-29,59.99450627291418
2017-07-30,61.12662665201665
2017-07-31,62.896682959011365
2017-08-01,64.66673926600608
2017-08-02,66.4367955730008
2017-08-03,63.948726909089395
2017-08-04,67.24420364715935
2017-08-05,67.99306767677734
2017-08-06,72.36336526442345
2017-08-07,72.42172784561285
2017-08-08,73.45733358117506
2017-08-09,74.49293931673729
2017-08-10,75.5285450522995
2017-08-11,77.32048909962033
2017-08-12,86.70119229860146
2017-08-13,85.14918577994945
2017-08-14,79.75595032687222
2017-08-15,77.04199725944403
2017-08-16,75.93725227383948
2017-08-17,78.63594129174469
2017-08-18,76.17653620104655
2017-08-19,69.58251863325414
2017-08-20,72.85739602144574
2017-08-21,75.04799960569737
2017-08-22,73.01350469694238
2017-08-23,70.97900978818737
2017-08-24,68.94451487943238
2017-08-25,72.26059830230962
2017-08-26,71.71108677962614
2017-08-27,71.57700195088923
2017-08-28,74.59706690338801
2017-08-29,74.66098661225001
2017-08-30,77.44689655336667
2017-08-31,80.96571907278468
2017-09-01,83.25907827748371
2017-09-02,86.5710041555176
2017-09-03,76.35639100174895
2017-09-04,76.88085004900172
2017-09-05,63.262466157830005
2017-09-06,70.95303145622724
2017-09-07,75.71949500867355
2017-09-08,78.14340774647509
2017-09-09,69.34531188271488
2017-09-10,70.3778795216089
2017-09-11,67.92729147723315
2017-09-12,66.71246783176562
2017-09-13,66.71454485832999
2017-09-14,61.44914554317163
2017-09-15,47.4862796310358
2017-09-16,57.77451455147796
2017-09-17,58.04851818131244
2017-09-18,58.28656604386787
2017-09-19,64.01518492314848
2017-09-20,59.12339477539994
2017-09-21,56.92567849636352
2017-09-22,50.927709941849265
2017-09-23,52.93302843299851
2017-09-24,55.705474894895254
2017-09-25,53.49579473158606
2017-09-26,58.68562723702637
2017-09-27,58.15558152006317
2017-09-28,63.31529331213083
2017-09-29,63.899320497176305
2017-09-30,60.341358315150636
2017-10-01,62.59845306066968
2017-10-02,62.02073039193349
2017-10-03,58.60317525033825
2017-10-04,58.13056135299172
2017-10-05,56.087691697870795
2017-10-06,56.3635195056479
2017-10-07,57.488181878035924
2017-10-08,54.733547578249734
2017-10-09,51.12148905615234
2017-10-10,49.329337822122746
2017-10-11,52.06298800454595
2017-10-12,55.28634125151094
2017-10-13,52.11687993996073
2017-10-14,52.267028517368466
2017-10-15,51.750621387535
2017-10-16,49.913766517176015
2017-10-17,52.205410284362195
2017-10-18,51.85940929829596
2017-10-19,51.07003077986824
2017-10-20,50.028186874178836
2017-10-21,47.19324401616154
2017-10-22,46.10352111851012
2017-10-23,47.225741091199225
2017-10-24,45.44416012748577
2017-10-25,48.804764695550524
2017-10-26,48.35548607314598
2017-10-27,47.43484419736604
2017-10-28,47.10665542492037
2017-10-29,46.49275537667877
2017-10-30,47.8168426869012
2017-10-31,48.22876137548051
2017-11-01,46.426211776966944
2017-11-02,44.9760248532558
2017-11-03,44.43632471112403
2017-11-04,47.34013118807235
2017-11-05,46.590141611887944
2017-11-06,45.938541687760114
2017-11-07,45.66225349497674
2017-11-08,46.44643941015404
2017-11-09,52.410339252911946
2017-11-10,55.302138372024636
2017-11-11,48.51502129959744
2017-11-12,49.54932643951625
2017-11-13,45.33189281083986
2017-11-14,49.89650998810953
2017-11-15,53.62951551167138
2017-11-16,53.67076382435245
2017-11-17,52.44967730461789
2017-11-18,54.276995203655446
2017-11-19,56.104313102693
2017-11-20,57.93163100173056
2017-11-21,59.75894890076811
2017-11-22,58.652752147638054
2017-11-23,62.12315079769171
2017-11-24,60.82474900578975
2017-11-25,62.68254694373917
2017-11-26,66.73147075037612
2017-11-27,70.78039455701305
2017-11-28,74.82931836365
2017-11-29,74.47236318667565
2017-11-30,65.09482494723454
2017-12-01,69.44068370755748
2017-12-02,76.65762501916136
2017-12-03,83.04258798869095
2017-12-04,83.31630303745324
2017-12-05,91.4483325483604
2017-12-06,91.41508093788788
2017-12-07,90.54931538065969
2017-12-08,79.83801369884519
2017-12-09,87.16810527047564
2017-12-10,85.22473231086313
2017-12-11,77.85676713651853
2017-12-12,89.81547531034597
2017-12-13,100.2411614376979
2017-12-14,122.20753549435507
2017-12-15,138.11361124967397
2017-12-16,139.43667895241552
2017-12-17,167.23663598014366
2017-12-18,174.33069966126618
2017-12-19,205.16840543786796
2017-12-20,224.63568782128175
2017-12-21,220.48712025873974
2017-12-22,242.27670591010403
2017-12-23,186.396499446348
2017-12-24,213.21731459128253
2017-12-25,204.24498205287924
2017-12-26,216.27168025258476
2017-12-27,227.497753521382
2017-12-28,230.99547639208856
2017-12-29,225.92159815715638
2017-12-30,223.21702996505834
2017-12-31,206.936458832632
2018-01-01,237.5016783012853
2018-01-02,253.89196122699303
2018-01-03,301.51506696033124
2018-01-04,360.4144318921654
2018-01-05,456.07187006934413
2018-01-06,484.94894522728083
2018-01-07,438.8664401858613
2018-01-08,461.4071721274256
2018-01-09,414.1036818930762
2018-01-10,391.7646643591706
2018-01-11,401.81871208510563
2018-01-12,365.2224559487566
2018-01-13,403.1717412257979
2018-01-14,422.02280829788356
2018-01-15,371.99794546279975
2018-01-16,351.9349393633074
2018-01-17,263.250420979134
2018-01-18,289.9496980131354
2018-01-19,284.7817618187724
2018-01-20,300.7332226522645
2018-01-21,354.00090063028296
2018-01-22,307.738821467671
2018-01-23,291.78058924245346
2018-01-24,291.78900875352724
2018-01-25,306.1832970569006
2018-01-26,302.9850730728764
2018-01-27,302.1912973215786
2018-01-28,310.3196073073619
2018-01-29,319.68865110098176
2018-01-30,302.9168871546768
2018-01-31,258.88075804936034
2018-02-01,266.6692370782451
2018-02-02,227.14773821967722
2018-02-03,219.1572668072591
2018-02-04,232.55827938810472
2018-02-05,193.88618948261745
2018-02-06,151.40105091696194
2018-02-07,180.68398349002416
2018-02-08,172.60877391267888
