date,txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,generatedCoins,activeAddresses,medianFee,averageDifficulty,paymentCount,blockCount,blockSize
2014-06-02,1493,1998471.8612716764,1.76,47672.0,8.260069489061,22811.012862214062,95086,0.00564,226714411.82408074,63189,1387,6227820
2014-06-03,2084,2006426.212435233,1.73,91332.0,11.752766975966,23083.025399310354,124655,0.00567,234513962.48952514,73704,1432,9741537
2014-06-04,2256,2278234.91160221,1.93,51886.0,13.091060594651,24583.642265861523,140202,0.0057211551095,228184448.2883476,89488,1519,10268772
2014-06-05,2582,2036325.7253818654,1.7,49319.666666666664,14.367802344285,21992.63953040061,197591,0.00565,248133262.08931187,133997,1366,12405702
2014-06-06,3056,1794416.539161521,1.47,46753.333333333336,16.757904201055,22828.083858715505,251639,0.0056607176945,246171894.81315604,172909,1429,15496464
2014-06-07,2156,1552507.3529411764,1.24,44187.0,12.438062069946,22557.924894039712,212294,0.005728560324,221904132.33262563,153474,1413,12953851
2014-06-08,2434,1727213.194029851,1.36,40634.0,13.628804681483,22983.894308131734,230961,0.0056775378445,228051232.6561845,168058,1431,13585434
2014-06-09,2661,1729629.125,1.33,56500.0,14.526821781366,22759.268900150822,284362,0.0057,215808429.35146445,202384,1434,16822499
2014-06-10,2927,1951567.352601156,1.48,182599.0,15.907453479209,25117.269669664358,291204,0.005668804446,238279836.08855155,189425,1581,19002693
2014-06-11,3051,2311988.9629629627,1.72,85735.0,18.726540423529,20798.12664043487,228188,0.00578,284750265.38374716,151648,1329,14551692
2014-06-12,4588,2207654.0689655175,1.62,108619.0,28.936368317202,23517.480580924876,342884,0.005808634478,275264767.2239894,238799,1509,20598164
2014-06-13,5478,2298636.484375,1.65,84237.0,34.681407104266,23229.98152906793,415863,0.0058,309330885.82543975,290600,1478,24872417
2014-06-14,5432,2731793.7564102565,1.93,276919.0,42.229096635952,24260.11013170844,430558,0.0058287440395,350543883.73850197,256248,1522,29012454
2014-06-15,5401,3332251.360594795,2.32,150652.0,36.44328685273,21016.375176860016,440508,0.005809251016,398915299.5893536,281816,1315,28510530
2014-06-16,4876,3976294.4402515725,2.72,438776.0,38.033070479421,24372.703954410514,368398,0.0058031672625,390814585.3565387,175806,1537,29876645
2014-06-17,4042,4669672.819148936,3.15,228444.99999999997,27.764134851596,22836.013849566512,226198,0.00583,405606844.85524476,108719,1430,17587359
2014-06-18,3776,4367192.11469534,2.9,183102.0,78.472028059538,23229.41125277382,196332,0.00588,465032184.95234805,110220,1448,13802835
2014-06-19,4074,4256243.060702875,2.78,283962.0,29.074641878592,24146.94845276219,237057,0.00586,477430973.540146,123300,1507,17445640
2014-06-20,2658,4924921.037280702,3.17,543764.0,17.725578977174,23271.114609027532,192028,0.005839641553,520939071.80756015,91139,1455,14982189
2014-06-21,3499,6830610.435129741,4.33,723077.0,23.578040583321,24028.400365128356,270325,0.005849368197,641327458.4831461,136443,1513,19965454
2014-06-22,2780,7970003.448275863,4.98,491984.0,18.635014980295,24286.172656347724,202286,0.005860018494,719963244.3359631,113783,1521,14251854
2014-06-23,3048,6952663.206030151,4.28,433301.0,21.55358741654,22037.989029973356,182344,0.0059010904805,773134891.3180516,52216,1396,16390408
2014-06-24,2742,6466871.314024391,3.93,150995.0,18.872252104605,22458.060841343642,148651,0.0058060070705,768620059.4073551,57409,1414,12471795
2014-06-25,2403,5381236.215339232,3.23,217183.0,16.520239879686,22474.35119397723,106860,0.005748858936,686916914.6936744,45120,1407,9070042
2014-06-26,2319,5557149.647058823,3.28,117740.00000000001,15.887104084663,23332.89995673779,108559,0.005735541296,743510913.2445356,43555,1464,9139093
2014-06-27,2088,5108987.854545454,2.98,250642.99999999997,14.471103179341,23130.20597408469,94736,0.00574069037,720773934.2734159,37615,1452,8017650
2014-06-28,1791,4037616.094117647,2.32,184970.0,12.518418439694,22606.87799046099,77570,0.005776685388,742852110.3366197,33942,1420,6571560
2014-06-29,1846,4498227.106299212,2.55,138511.0,12.927321389236,23359.33347869237,78138,0.005786850171,783624507.6160654,35013,1469,6429941
2014-06-30,1998,4558004.64,2.55,124575.00000000001,13.908508760772,23124.908640960253,89291,0.0058214479635,765112535.9327847,35357,1458,7667558
2014-07-01,1901,4528100.880851063,2.51,98540.0,13.407031959674,23221.58357029936,76938,0.005824709226,838708786.3456284,34901,1464,6354083
2014-07-02,1774,4285551.974025974,2.34,101095.0,13.007588206698,22222.864646330356,74434,0.0059611356745,842806485.2450142,30015,1404,6367098
2014-07-03,1878,4285150.625,2.31,168532.0,13.466756507763,22959.378204794906,80783,0.0058639572135,818971509.9642366,27091,1454,7222002
2014-07-04,1788,4959604.0,2.64,148555.0,12.882872334947,22981.961196153174,73162,0.00589533176,845340848.7883161,32842,1455,6003675
2014-07-05,1618,5011849.7489878535,2.64,68525.0,11.362474624323,23276.086718656206,66333,0.005826833024,876066657.9037288,33042,1475,5270615
2014-07-06,1678,4740259.333333334,2.47,77663.0,12.030915071836,22160.754978283123,72733,0.005879962593,926640219.1727079,33080,1407,6108269
2014-07-07,1915,4662044.623115578,2.4,111370.00000000001,13.490081882995,22060.174932259193,75250,0.005770336652,886561208.767094,33036,1404,6257240
2014-07-08,1850,3891070.723404255,1.98,94993.0,13.403272987375,22466.680828276745,75523,0.005970153321,789119597.591195,32126,1431,6313823
2014-07-09,1671,4569722.388059702,2.3,69554.0,12.218990192312,22490.174331146758,71088,0.005950043479,763382167.125523,32517,1434,5972573
2014-07-10,1570,4086370.6666666665,2.03,89099.0,11.978254204003,22602.022352812546,66885,0.006759757022,768189204.6500347,29624,1443,5893803
2014-07-11,1760,3791441.6648044693,1.86,116666.0,13.557812504583,22269.19298436505,73072,0.007,789385281.0435393,30201,1424,6487654
2014-07-12,1401,3682683.919075145,1.79,65374.99999999999,10.556489979199,22542.063653362056,61977,0.006632915073,745362919.7763158,28447,1444,5476795
2014-07-13,1754,3591521.558659218,1.73,122048.99999999999,43.498075927335,22307.800122873392,80564,0.0069338485255,686783840.527933,29576,1432,7408735
2014-07-14,1538,3760348.4060913706,1.79,100284.0,12.033218552758,22140.785120738277,62634,0.0070918651645,781050948.2470092,25446,1421,5738369
2014-07-15,1950,4142720.4739336492,1.95,136205.0,14.101322323144,22401.89781352889,79138,0.005971368855,748982297.3910035,31004,1445,7043621
2014-07-16,2417,4627614.287822878,2.16,353430.0,17.682817981159,23117.743379173076,100734,0.00597,784395301.9577748,32773,1492,9270768
2014-07-17,2603,5873154.7416107375,2.71,503684.0,35.184437362116,22873.240298097156,116602,0.00641395583,950100807.2880324,30789,1479,11406283
2014-07-18,2186,6649913.244274808,3.03,348336.0,16.721119109186,22308.884346051167,90022,0.0067872353825,1036151200.815534,31607,1442,8228166
