date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),reward,activeAddresses,medianTxValue(USD)
2017-03-09,3220231.66579398,184,34950377.33546954,1.0,9560830.0,0.0,,
2017-03-10,3691150.523137354,298,34947057.21791218,0.999905,26308800.0,0.0,,
2017-03-11,3266947.3621198754,228,34951461.434016,0.999991,15269400.0,0.0,,
2017-03-12,2810392.03445906,167,34953174.0,1.0,13039200.0,0.0,,
2017-03-13,5883873.54862401,391,34951776.0,1.0,25101200.0,0.0,,
2017-03-14,6714651.88574271,477,34951062.0,1.0,13773800.0,0.0,,
2017-03-15,8039556.7940431,418,34950712.0,1.0,20476500.0,0.0,,
2017-03-16,10886952.10196781,578,34951411.0,1.0,39496700.0,0.0,,
2017-03-17,21182108.57316193,595,44952211.0,1.0,46381300.0,10000000.0,,
2017-03-18,11935850.60118217,461,44952211.0,1.0,49039900.0,0.0,,
2017-03-19,8516922.19290026,335,44953110.0,1.0,33106500.0,0.0,,
2017-03-20,2446161.65445835,307,44960302.0,1.0,16075100.0,0.0,,
2017-03-21,5339943.77499024,367,44952211.0,1.0,21556400.0,0.0,,
2017-03-22,4845776.515214561,345,44952661.0,1.0,22713300.0,0.0,,
2017-03-23,3289983.98715545,258,44954009.0,1.0,12763900.0,0.0,,
2017-03-24,6338674.00610915,372,44950862.889740534,1.0,33351200.0,0.0,,
2017-03-25,5994569.108195345,377,44946277.884468295,0.999898,28141600.0,0.0,,
2017-03-26,5562594.605157879,326,44947481.13933,0.999915,16614300.0,0.0,,
2017-03-27,4198127.66494308,271,44951302.0,1.0,19270700.0,0.0,,
2017-03-28,2625979.1290869103,330,44951302.0,1.0,15602800.0,0.0,,
2017-03-29,5717460.10018741,329,54950852.39517694,1.0,16816300.0,10000000.0,,
2017-03-30,28076230.4012185,412,54947994.86761214,0.999948,25009900.0,0.0,,
2017-03-31,10297680.59123086,393,54950031.73716,0.999985,34115800.0,0.0,,
2017-04-01,3105696.95407063,315,54950867.65921091,1.0,15118800.0,0.0,,
2017-04-02,8867676.361030366,437,54980079.716322,0.999582,45911500.0,0.0,,
2017-04-03,8989699.69011064,473,54950867.81521817,1.0,42028500.0,0.0,,
2017-04-04,5884069.897065905,398,54939382.999556996,0.999771,26434800.0,0.0,,
2017-04-05,11382935.16837137,400,54956912.0,1.0,26734200.0,0.0,,
2017-04-06,5337083.46097824,510,54950868.00294818,1.0,33731600.0,0.0,,
2017-04-07,9422049.303033179,515,54947405.85553665,0.999937,21336300.0,0.0,,
2017-04-08,3085124.645123024,257,54943943.236993305,0.999874,14282200.0,0.0,,
2017-04-09,12994571.994600816,271,54935152.08646346,0.999714,18951900.0,0.0,,
2017-04-10,4590972.543407754,379,54948669.57516068,0.99996,12279500.0,0.0,,
