date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2018-07-31,19977904.041953836,46274,1770312952.857143,17.11,184935000.0,24671.0,22.804229676675302,19244,17.024449999999998,2.31e-05,178575317313789.88,38279,10312884,6152
2018-08-01,81322640.70537126,53416,1678831672.6968324,16.22,167916000.0,24187.0,35.802815265964654,20997,8.64926409353,0.00042,181170223242596.4,45314,12880259,6029
2018-08-02,87003909.12285781,46996,1603076285.448299,15.49,158264000.0,24173.75,29.142940407981293,20471,15.49,2.31e-05,177913233674935.94,38995,11231858,6025
2018-08-03,33764315.527904704,50565,1554736047.0048192,15.02,266153999.99999997,24719.5,20.714244286885275,22534,15.02,2.31e-05,171751296353131.53,42059,10224147,6162
2018-08-04,42488344.72489976,47456,1712034292.8647988,16.54,236249000.0,24800.0,21.68607255336355,20806,16.5402170244826,3.43783e-05,188592546674142.5,39178,10166175,6183
2018-08-05,36864622.606369905,65560,1706094530.3793101,16.47,218174000.0,24772.0,17.33223812505015,39126,2.455093409299674,2.1e-05,193461082268927.0,56991,13093319,6174
2018-08-06,67322700.4743812,55427,1821641003.7620578,17.58,347516000.0,24763.25,21.72283038596243,28098,13.3608,2.31e-05,206801170211815.12,47051,10685766,6172
2018-08-07,220732379.46891043,60715,1942431453.7651472,18.75,721105000.0,24504.5,34.784261812027204,28229,18.7611013125,0.00021,225405212727093.3,48353,13138075,6105
2018-08-08,136897488.53352332,49664,1796005086.5026417,17.33,421786000.0,23924.5,36.120475198716804,23210,17.333464374678567,0.00021,211699830232426.28,41015,12362897,5963
2018-08-09,55107178.204244785,49110,1574217846.5684977,15.19,281762000.0,24286.25,24.484284038549433,21248,13.2153,9.3836e-05,202889888385190.97,39456,10726322,6051
2018-08-10,56097376.604458496,47168,1563226816.4727273,15.08,273050000.0,24533.0,28.769826221305927,20684,15.0736664,2.31e-05,198847960477627.03,37658,11035446,6115
2018-08-11,32862865.126947876,45956,1481770518.748494,14.29,258674000.0,24208.0,22.979496563219907,20011,14.2839982,2.31e-05,201549505018371.3,37115,9984514,6033
2018-08-12,13783461.27338947,42651,1374072904.7727273,13.25,197004000.0,24326.75,21.71167909368958,18738,13.242459027499999,2.31e-05,194454407081177.7,34562,9272748,6058
2018-08-13,28727161.44975603,44337,1376180712.995025,13.26,226746000.0,24792.75,27.41710461858897,20256,13.26118617829995,2.31e-05,197036251067250.53,36466,10737069,6181
2018-08-14,79980278.23239756,48907,1249161181.6115842,12.04,296484000.0,24341.25,40.03681629552773,23596,12.053483234799998,0.00042,199339658386898.0,40317,12985340,6070
2018-08-15,45130409.89128373,47165,1248682810.632387,12.03,303255000.0,24513.0,19.633100341217688,20241,12.022980617117565,0.00021,197629807428114.16,39242,9734681,6113
2018-08-16,68350088.9361278,49480,1372644229.7956836,13.22,551305000.0,25057.5,30.670881740146495,22419,13.230864773381253,0.00042,218543072323434.4,41008,11487758,6250
2018-08-17,85917145.16858888,51934,1406852883.4208708,13.55,467499000.00000006,24395.0,32.16621878245569,26208,13.562546996201412,0.00042,214092742368122.28,43923,11570713,6082
2018-08-18,57510965.27945421,47789,1498535499.704597,14.42,281553000.0,24263.75,22.725922038303715,22829,14.4190394838,0.00021,212243842055053.53,39162,10169968,6049
