date,txVolume(USD),txCount,paymentCount,activeAddresses,medianTxValue(USD),fees,medianFee,marketcap(USD),price(USD),exchangeVolume(USD)
2018-01-20,358038355.44741106,717891,40426,18719,494.10880584000006,5630.582198,1.2e-05,60380279476.860756,1.56,2346449920.0
2018-01-21,393191121.4130899,870496,34088,16319,496.78360000000004,5013.144332,1.5e-05,61209619781.95652,1.58,2840750080.0
2018-01-22,465586226.6754699,1086216,40442,19083,481.68956445,6027.345605,1.5e-05,53742485248.56617,1.39,2642510080.0
2018-01-23,346208854.1815535,1208934,39433,16103,481.5487962,10284.408331,2.2e-05,52183490048.73134,1.35,2977080064.0000005
2018-01-24,135301260981.18121,862453,42078,14612,493.48316137500007,13588.106291,1.5e-05,52188248050.80882,1.35,1853440000.0
2018-01-25,312519466.7051532,823265,37857,12667,516.8000000000001,11151.291972,1.5e-05,52774919774.47328,1.36,986067968.0
2018-01-26,500886159.11827666,1074156,36261,14931,654.29926135,8760.787432,1.5e-05,50634717413.68852,1.31,2037570048.0000002
2018-01-27,245725335.02846694,675312,26703,12348,372.0756,4671.706616,1.2e-05,47227276392.0,1.22,689100992.0
2018-01-28,235551690.25540832,765555,28291,12477,376.17826235999996,4852.922939,1.2e-05,47248250870.82857,1.22,1327360000.0
2018-01-29,325057535.33629876,850955,30034,13162,419.972,5493.006763,1.2e-05,54397915205.45454,1.4,1073680000.0
2018-01-30,407211859.1614554,963840,33106,13698,503.28742933000007,5885.082942,1.3e-05,51457978178.83334,1.33,1134640000.0
2018-01-31,288369561.29594755,921453,30543,13958,377.59841230999996,5140.375086,1.2e-05,43865423447.89655,1.13,1264029952.0
2018-02-01,1434589538.884039,1104170,34994,15639,506.23774426,6546.199877,1.5e-05,45250690372.62215,1.16,1410419968.0
2018-02-02,675030564.584527,1347173,44598,19259,567.89185667256,8924.661321,2.2e-05,37473891121.03823,0.960642,3529760000.0
2018-02-03,193838681.86958393,1167494,27038,13252,338.10051834116,5142.325256,2e-05,34795908454.16215,0.891992,1988959999.9999998
2018-02-04,176830335.62772703,1034995,22840,10774,414.96123031,4125.208625,1.3e-05,35631719912.645615,0.913418,1190960000.0
2018-02-05,253227815.291976,1156718,31202,14609,487.45318136824994,5403.524154,1.2e-05,32219388757.467186,0.825943,1286179968.0
2018-02-06,291911279.7235535,1371583,37247,15802,387.81655,7060.20947,2.4e-05,27506217280.80438,0.705121,2361139968.0
2018-02-07,168294633.21589887,1209955,27775,13234,301.96845360000003,5936.715465,2.4e-05,30215602366.882248,0.774576,1133369984.0
2018-02-08,149296759.60700762,1076089,16700,8622,364.0061358,4770.372281,2.9e-05,28447548667.97133,0.729252,947315008.0000001
2018-02-09,232009325.09657973,1093368,30748,10971,302.8972572,6156.412897,2.8e-05,31095806313.244747,0.79714,1690339968.0
2018-02-10,276050804.42576486,1150491,36859,14712,473.6255,6915.656564,2.4e-05,36977073967.356316,0.947251,4682010112.0
2018-02-11,242403739.6691505,849630,21803,9271,424.11290400000007,3643.170465,1.2e-05,41913498768.32,1.07,2555310080.0
2018-02-12,336078918.58401126,797424,21977,10094,303.0,3707.92532,1.2e-05,39436153645.490746,1.01,1756290048.0
2018-02-13,183564155.6474436,1058876,21194,8804,405.19116,4821.588883,2.7e-05,42024014679.14563,1.08,921100032.0000001
2018-02-14,500584874.04092914,972592,25080,10559,391.88646591,5236.646669,2.2e-05,40236589486.44737,1.03,1457600000.0
2018-02-15,239718336.86681136,1188809,24967,10747,341.99999999999994,5019.395247,3.5e-05,44349082238.81739,1.14,1188530048.0
2018-02-16,181727625.27024832,976895,18949,8222,285.0,4080.313981,3.3e-05,44393657900.0,1.14,568339008.0
2018-02-17,130189343.35748182,881830,21073,8194,358.98599999999993,4487.939298,3.1e-05,44655058655.950005,1.14,1186729984.0
2018-02-18,3875275867.7336903,988330,19404,7295,401.54355960000004,4426.713451,3.5e-05,46830284976.428566,1.2,1113650048.0
2018-02-19,94465125.01296641,587088,19366,8180,279.93280000000004,2962.167706,1.2e-05,43859717547.08772,1.12,556304000.0
