date,txVolume(USD),txCount,paymentCount,activeAddresses,medianTxValue(USD),fees,medianFee,marketcap(USD),price(USD),exchangeVolume(USD)
2013-01-02,,5,3,6,,5e-05,1e-05,,,
2013-01-03,,10,6,8,,0.0001,1e-05,,,
2013-01-04,,16,6,9,,0.00016,1e-05,,,
2013-01-05,,18,5,11,,0.00018,1e-05,,,
2013-01-06,,23,6,7,,0.00023,1e-05,,,
2013-01-07,,13,3,8,,0.00013,1e-05,,,
2013-01-08,,68,15,15,,0.00068,1e-05,,,
2013-01-09,,32,14,20,,0.00032,1e-05,,,
2013-01-10,,70,23,24,,0.0007,1e-05,,,
2013-01-11,,19,5,14,,0.00019,1e-05,,,
2013-01-12,,23,6,7,,0.00023,1e-05,,,
2013-01-13,,25,10,6,,0.00025,1e-05,,,
2013-01-14,,14,4,10,,0.00014,1e-05,,,
2013-01-15,,67,15,22,,0.00067,1e-05,,,
2013-01-16,,62,20,21,,0.00062,1e-05,,,
2013-01-17,,88,28,19,,0.00088,1e-05,,,
2013-01-18,,80,13,21,,0.0008,1e-05,,,
2013-01-19,,32,6,14,,0.00032,1e-05,,,
2013-01-20,,14,3,6,,0.00014,1e-05,,,
2013-01-21,,29,4,12,,0.00029,1e-05,,,
2013-01-22,,47,17,26,,0.00047,1e-05,,,
2013-01-23,,98,12,26,,0.00098,1e-05,,,
2013-01-24,,41,9,18,,0.00041,1e-05,,,
2013-01-25,,38,13,19,,0.00038,1e-05,,,
2013-01-26,,43,29,34,,0.00043,1e-05,,,
2013-01-27,,29,8,15,,0.00029,1e-05,,,
2013-01-28,,28,8,13,,0.00028,1e-05,,,
2013-01-29,,60,5,12,,0.0006,1e-05,,,
2013-01-30,,52,16,19,,0.00052,1e-05,,,
2013-01-31,,45,14,23,,0.00045,1e-05,,,
2013-02-01,,21,3,14,,0.00021,1e-05,,,
2013-02-02,,39,6,8,,0.00039,1e-05,,,
2013-02-03,,6,3,4,,6e-05,1e-05,,,
2013-02-04,,5,4,10,,5e-05,1e-05,,,
2013-02-05,,14,3,8,,0.00014,1e-05,,,
2013-02-06,,15,14,17,,0.00015,1e-05,,,
2013-02-07,,57,25,31,,0.00057,1e-05,,,
2013-02-08,,73,36,45,,0.00073,1e-05,,,
2013-02-09,,86,30,31,,0.00086,1e-05,,,
2013-02-10,,254,32,45,,0.00254,1e-05,,,
2013-02-11,,230,72,51,,0.0023,1e-05,,,
2013-02-12,,377,65,62,,0.00377,1e-05,,,
2013-02-13,,212,16,33,,0.00212,1e-05,,,
2013-02-14,,658,19,31,,0.00658,1e-05,,,
2013-02-15,,297,32,44,,0.00297,1e-05,,,
2013-02-16,,236,16,41,,0.00236,1e-05,,,
2013-02-17,,278,4,19,,0.00278,1e-05,,,
2013-02-18,,77,24,25,,0.00077,1e-05,,,
2013-02-19,,249,24,19,,0.00249,1e-05,,,
2013-02-20,,208,74,62,,0.00208,1e-05,,,
2013-02-21,,926,346,318,,0.00926,1e-05,,,
2013-02-22,,1262,64,91,,0.01262,1e-05,,,
2013-02-23,,1736,420,314,,0.01736,1e-05,,,
2013-02-24,,695,141,99,,0.00695,1e-05,,,
2013-02-25,,566,191,230,,0.00566,1e-05,,,
2013-02-26,,791,187,219,,0.00791,1e-05,,,
2013-02-27,,1209,338,297,,0.01209,1e-05,,,
2013-02-28,,2118,198,185,,0.02118,1e-05,,,
2013-03-01,,786,189,185,,0.00786,1e-05,,,
2013-03-02,,1145,121,140,,0.01145,1e-05,,,
2013-03-03,,821,80,128,,0.00821,1e-05,,,
2013-03-04,,1795,400,356,,0.01795,1e-05,,,
2013-03-05,,1682,123,157,,0.01682,1e-05,,,
2013-03-06,,2924,256,241,,0.02924,1e-05,,,
2013-03-07,,696,234,206,,0.00696,1e-05,,,
2013-03-08,,1214,135,148,,0.01214,1e-05,,,
2013-03-09,,1433,53,111,,0.01433,1e-05,,,
2013-03-10,,441,89,139,,0.00441,1e-05,,,
2013-03-11,,679,268,332,,0.00679,1e-05,,,
2013-03-12,,494,126,156,,0.00494,1e-05,,,
2013-03-13,,589,79,135,,0.00589,1e-05,,,
2013-03-14,,553,84,119,,0.00553,1e-05,,,
2013-03-15,,705,55,95,,0.00705,1e-05,,,
2013-03-16,,479,39,78,,0.00479,1e-05,,,
2013-03-17,,554,22,69,,0.00554,1e-05,,,
2013-03-18,,1335,125,156,,0.01335,1e-05,,,
2013-03-19,,1932,138,161,,0.01932,1e-05,,,
2013-03-20,,2074,99,120,,0.02074,1e-05,,,
2013-03-21,,2085,159,144,,0.02085,1e-05,,,
2013-03-22,,1505,56,84,,0.01505,1e-05,,,
2013-03-23,,3973,33,57,,0.03973,1e-05,,,
2013-03-24,,1985,76,62,,0.01985,1e-05,,,
2013-03-25,,821,247,177,,0.00821,1e-05,,,
2013-03-26,,552,159,151,,0.00552,1e-05,,,
2013-03-27,,1914,73,106,,0.01914,1e-05,,,
2013-03-28,,2394,169,138,,0.02394,1e-05,,,
2013-03-29,,2876,338,123,,0.02876,1e-05,,,
2013-03-30,,694,120,88,,0.00694,1e-05,,,
2013-03-31,,1081,497,91,,0.01081,1e-05,,,
2013-04-01,,1501,259,142,,0.01501,1e-05,,,
2013-04-02,,1491,179,143,,0.01491,1e-05,,,
2013-04-03,,1592,139,128,,0.01592,1e-05,,,
2013-04-04,,2204,97,136,,0.02204,1e-05,,,
2013-04-05,,730,123,172,,0.0073,1e-05,,,
2013-04-06,,651,159,96,,0.00651,1e-05,,,
2013-04-07,,1084,133,104,,0.01084,1e-05,,,
2013-04-08,,2103,207,163,,0.02112,1e-05,,,
2013-04-09,,1603,123,167,,0.01603,1e-05,,,
2013-04-10,,1397,128,130,,0.01397,1e-05,,,
2013-04-11,,1689,181,166,,0.01689,1e-05,,,
2013-04-12,,1612,445,334,,0.01612,1e-05,,,
2013-04-13,,1217,338,244,,0.01217,1e-05,,,
2013-04-14,,2364,358,239,,0.02364,1e-05,,,
2013-04-15,,3392,422,361,,0.03392,1e-05,,,
2013-04-16,,2071,601,401,,0.02071,1e-05,,,
2013-04-17,,2794,419,349,,0.02794,1e-05,,,
2013-04-18,,3112,543,472,,0.03112,1e-05,,,
2013-04-19,,2980,398,395,,0.0298,1e-05,,,
2013-04-20,,2755,464,242,,0.02755,1e-05,,,
2013-04-21,,3191,689,258,,0.03191,1e-05,,,
2013-04-22,,2546,451,382,,0.02546,1e-05,,,
2013-04-23,,3114,521,440,,0.03114,1e-05,,,
2013-04-24,,3361,965,427,,0.0336,1e-05,,,
2013-04-25,,2660,613,523,,0.0266,1e-05,,,
2013-04-26,,2891,953,454,,0.02891,1e-05,,,
2013-04-27,,3090,1301,402,,0.0309,1e-05,,,
2013-04-28,,2931,612,330,,0.02931,1e-05,,,
2013-04-29,,3532,1088,446,,0.03532,1e-05,,,
2013-04-30,,2302,500,425,,0.02302,1e-05,,,
2013-05-01,,2766,443,363,,0.02766,1e-05,,,
2013-05-02,,3274,518,428,,0.03274,1e-05,,,
2013-05-03,,3792,507,480,,0.03792,1e-05,,,
2013-05-04,,5698,676,549,,0.05698,1e-05,,,
2013-05-05,,7655,1158,957,,0.07655,1e-05,,,
2013-05-06,,7429,1981,810,,0.07429,1e-05,,,
2013-05-07,,3993,602,671,,0.03993,1e-05,,,
2013-05-08,,3600,621,647,,0.036,1e-05,,,
2013-05-09,,14405,10580,614,,0.14405,1e-05,,,
2013-05-10,,10999,6273,948,,0.10999,1e-05,,,
2013-05-11,,15245,8846,605,,0.15245,1e-05,,,
2013-05-12,,10332,7377,513,,0.10332,1e-05,,,
2013-05-13,,16841,8536,504,,0.16841,1e-05,,,
2013-05-14,,29948,6170,546,,0.29948,1e-05,,,
2013-05-15,,17967,6897,546,,0.17967,1e-05,,,
2013-05-16,,10925,3864,631,,0.10925,1e-05,,,
2013-05-17,,10878,2840,710,,0.10878,1e-05,,,
2013-05-18,,9138,2866,741,,0.09138,1e-05,,,
2013-05-19,,8956,2643,713,,0.08956,1e-05,,,
2013-05-20,,12536,2287,649,,0.12536,1e-05,,,
2013-05-21,,25752,2594,662,,0.25752,1e-05,,,
2013-05-22,,24104,2710,760,,0.24104,1e-05,,,
2013-05-23,,35749,2871,576,,0.35749,1e-05,,,
2013-05-24,,27130,2676,575,,0.2713,1e-05,,,
2013-05-25,,25157,2328,458,,0.25159,1e-05,,,
2013-05-26,,11741,2499,515,,0.11741,1e-05,,,
2013-05-27,,9960,2603,588,,0.0996,1e-05,,,
2013-05-28,,15281,2912,574,,0.15281,1e-05,,,
2013-05-29,,6486,2761,613,,0.06486,1e-05,,,
2013-05-30,,7548,2879,549,,0.07548,1e-05,,,
2013-05-31,,9334,2326,528,,0.09334,1e-05,,,
2013-06-01,,19062,10219,5576,,0.19062,1e-05,,,
2013-06-02,,15659,5295,2181,,0.15659,1e-05,,,
2013-06-03,,14199,5806,2349,,1.255087,1e-05,,,
2013-06-04,,15903,5571,1118,,0.15903,1e-05,,,
2013-06-05,,18909,9375,937,,0.18909,1e-05,,,
2013-06-06,,28907,18657,794,,0.28907,1e-05,,,
2013-06-07,,30615,21169,836,,0.30615,1e-05,,,
2013-06-08,,28741,21280,744,,0.28741,1e-05,,,
2013-06-09,,21943,13389,782,,0.21943,1e-05,,,
2013-06-10,,22119,16711,820,,0.22119,1e-05,,,
2013-06-11,,21251,11911,962,,0.21251,1e-05,,,
2013-06-12,,14952,5820,953,,0.149755,1e-05,,,
2013-06-13,,12679,3976,651,,0.127877,1e-05,,,
2013-06-14,,9673,4063,581,,0.097943,1e-05,,,
2013-06-15,,5708,2333,425,,0.057788,1e-05,,,
2013-06-16,,9111,1577,420,,0.091434,1e-05,,,
2013-06-17,,13403,4578,539,,0.135463,1e-05,,,
2013-06-18,,15705,5624,677,,0.158672,1e-05,,,
2013-06-19,,12683,4771,480,,0.128161,1e-05,,,
2013-06-20,,14741,5041,534,,0.148956,1e-05,,,
2013-06-21,,14806,3943,581,,0.149256,1e-05,,,
2013-06-22,,12195,4358,441,,0.123185,1e-05,,,
2013-06-23,,12014,3158,429,,0.120865,1e-05,,,
2013-06-24,,10443,3844,721,,0.105385,1e-05,,,
2013-06-25,,10627,3707,392,,0.107045,1e-05,,,
2013-06-26,,8805,3757,434,,0.088831,1e-05,,,
2013-06-27,,8809,3495,643,,0.088772,1e-05,,,
2013-06-28,,11370,5661,461,,0.114475,1e-05,,,
2013-06-29,,8867,7258,322,,0.089945,1e-05,,,
2013-06-30,,30654,4099,339,,0.307815,1e-05,,,
2013-07-01,,10147,3996,475,,0.102636,1e-05,,,
2013-07-02,,12448,4354,693,,0.125514,1e-05,,,
2013-07-03,,10853,6674,551,,0.109603,1e-05,,,
