date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee
2015-05-11,4161.266357955549,2056,1358833.412903226,0.000151,3367.0,15945.953815,38,0.00151,10.0
2015-05-12,4526.50390796949,1496,1392404.4545454546,0.000155,4765.0,17010.736102,54,0.00155,10.0
2015-05-13,4655.3664332439,1495,1482468.962264151,0.000165,4187.0,16837.888004,43,0.00165,10.0
2015-05-14,2786.971218952167,1416,1430812.18125,0.000159,1647.0,16479.544478,53,0.0015899999999999998,10.0
2015-05-15,581.82530833216,775,1438270.243902439,0.00016,1260.0,8395.453318,29,0.0016,10.0
2015-05-16,10450.551044301892,1515,1471751.7692307692,0.000164,4958.0,18541.813576,61,0.00164,10.0
2015-05-17,1083.0763380416402,1020,1392140.25,0.000155,1049.0,11319.169529,28,0.00155,10.0
2015-05-18,5780.04580622288,1341,1437997.6331360948,0.00016,12653.000000000002,16537.614775,44,0.0016,10.0
2015-05-19,18791.50037578737,1551,1489867.4736842103,0.000166,9163.0,21366.134724,79,0.00166,10.0
2015-05-20,12379.185528123051,1492,1536789.9244186045,0.000171,8928.0,19588.920028,48,0.0017100000000000001,10.0
2015-05-21,11781.569371403468,1519,1549953.0,0.000172,7586.0,18782.280401,73,0.0017200000000000002,10.0
2015-05-22,6968.29547876014,1228,1552267.93220339,0.000172,4136.0,13990.42309,58,0.0017200000000000002,10.0
2015-05-23,7896.804121540452,992,1593450.0000000002,0.000177,4560.0,13020.943241,52,0.0017699999999999999,10.0
2015-05-24,22278.692981531232,1156,1593638.9505494505,0.000177,5675.0,15210.555611,46,0.0017699999999999999,10.0
2015-05-25,9685.525899302345,1482,1635589.0112359552,0.000182,6871.0,17596.188115,57,0.00182,10.0
2015-05-26,3552.9599405602376,1474,1601028.2950819673,0.000178,3844.9999999999995,16713.596004,42,0.00178,10.0
2015-05-27,12745.158781907845,1507,1650937.7512690357,0.000183,8659.0,18420.394968,57,0.00183,10.0
2015-05-28,11046.807266932125,1193,1754256.8112244897,0.000195,7216.999999999999,15560.900657,66,0.00195,10.0
2015-05-29,8736.529452480032,1409,1767788.262295082,0.000196,7999.000000000001,19429.412991,65,0.00196,10.0
2015-05-30,5696.5606378931825,861,1650659.0108108108,0.000183,7228.0,11116.213866,64,0.00183,10.0
2015-05-31,7140.166669751819,1353,1662140.338983051,0.000185,4684.0,16185.960802,33,0.00185,10.0
2015-06-01,510.81025035626396,1387,1594077.6176470586,0.000177,3525.0,14453.273995,26,0.0017699999999999999,10.0
2015-06-02,3236.1904857219797,1474,1532681.797752809,0.00017,5642.0,16767.234563,30,0.0017000000000000001,10.0
2015-06-03,8783.500452831371,1484,1604190.3050847459,0.000178,1820.0,16082.727355,39,0.00178,10.0
2015-06-04,2823.24848098221,1472,1592462.8255813953,0.000177,2220.0,16398.258281,25,0.0017699999999999999,10.0
2015-06-05,2196.880258713648,1462,1548043.2402234636,0.000172,4105.0,15626.607398,27,0.0017200000000000002,10.0
2015-06-06,4129.303680504046,1490,1610156.5941176468,0.000179,3364.0,16245.379246,38,0.00179,10.0
2015-06-07,3576.2635975655403,1485,1527331.6071428573,0.00017,3360.0,17045.028629,33,0.0017000000000000001,10.0
2015-06-08,1056.282558237816,1219,1516235.3684210523,0.000168,3109.9999999999995,12914.977757,22,0.0016799999999999999,10.0
2015-06-09,9606.553318991457,912,1533800.6756756757,0.000171,8723.0,12340.187717,52,0.0017100000000000001,10.0
2015-06-10,1536.778727776966,1516,1343068.470588235,0.000149,4577.0,16822.332763,45,0.00149,10.0
2015-06-11,1864.837921109265,1612,1378144.3986486488,0.000153,4653.0,17801.144604,108,0.0015300000000000001,10.0
2015-06-12,4150.673728900764,1412,1332378.0,0.000148,3589.0,15974.65612,36,0.00148,10.0
2015-06-13,6413.945482710107,1407,1335643.6645161288,0.000148,2980.0,16735.631597,44,0.00148,10.0
2015-06-14,2641.24329268172,968,1397268.0,0.000155,2903.0,11139.287141,31,0.00155,10.0
2015-06-15,6758.495753033385,1494,1399393.7755102043,0.000155,9550.0,17810.017632,43,0.00155,10.0
